"time","deaths"
1974,3035
1974.08333333333,2552
1974.16666666667,2704
1974.25,2554
1974.33333333333,2014
1974.41666666667,1655
1974.5,1721
1974.58333333333,1524
1974.66666666667,1596
1974.75,2074
1974.83333333333,2199
1974.91666666667,2512
1975,2933
1975.08333333333,2889
1975.16666666667,2938
1975.25,2497
1975.33333333333,1870
1975.41666666667,1726
1975.5,1607
1975.58333333333,1545
1975.66666666667,1396
1975.75,1787
1975.83333333333,2076
1975.91666666667,2837
1976,2787
1976.08333333333,3891
1976.16666666667,3179
1976.25,2011
1976.33333333333,1636
1976.41666666667,1580
1976.5,1489
1976.58333333333,1300
1976.66666666667,1356
1976.75,1653
1976.83333333333,2013
1976.91666666667,2823
1977,3102
1977.08333333333,2294
1977.16666666667,2385
1977.25,2444
1977.33333333333,1748
1977.41666666667,1554
1977.5,1498
1977.58333333333,1361
1977.66666666667,1346
1977.75,1564
1977.83333333333,1640
1977.91666666667,2293
1978,2815
1978.08333333333,3137
1978.16666666667,2679
1978.25,1969
1978.33333333333,1870
1978.41666666667,1633
1978.5,1529
1978.58333333333,1366
1978.66666666667,1357
1978.75,1570
1978.83333333333,1535
1978.91666666667,2491
1979,3084
1979.08333333333,2605
1979.16666666667,2573
1979.25,2143
1979.33333333333,1693
1979.41666666667,1504
1979.5,1461
1979.58333333333,1354
1979.66666666667,1333
1979.75,1492
1979.83333333333,1781
1979.91666666667,1915
